"JID","month","decision_year","court","JYEAR","JCASE","JNO","JDATE","JTITLE","JFULL_len","工程次數","src_path","json_file","read_status","judgment_text_available","penalty_keyword_count","delay_keyword_count","reduction_keyword_count","strong_reduction_keyword_count","first_layer_score","second_layer_score","strong_reduction_score","relevance_score","matched_penalty_terms","matched_delay_terms","matched_reduction_terms","matched_strong_reduction_terms","matched_first_layer_terms","is_overdue_penalty_candidate","is_penalty_reduction_high_relevance","first_layer_snippet","reduction_snippet"
"TPHV,109,上,42,20210105,1","202101","2021","臺灣高等法院民事","109","上","42","20210105","給付工程款","13623","120","202101/臺灣高等法院民事/TPHV,109,上,42,20210105,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高等法院民事/TPHV,109,上,42,20210105,1.json","ok","1","2","11","3","0","13","3","0","19","違約金","工期;完工期限;展延;逾期;遲延","相當","","工期;完工期限;展延;逾期;違約金;遲延","1","0","利 。 二、上訴人則以：兩造約定被上訴人於107年1月23日進場施作拆 除工程，並應於同年2月14日完工，嗣被上訴人因工程進度 落後，要求將完工日期展延至農曆春節後，惟被上訴人屆期 就部分工程項目仍未依約完成拆除，自不得請求上訴人給付 全部工程款；被上訴人提出之「追加工程報價單」，未經上 訴人確認核章","日止，按 年息5%計算之利息。又縱認兩造間就追加工程未成立承攬契 約，因被上訴人就該部分工程業已施作完成，亦得依民法第 179條之規定，請求上訴人給付相當於承攬報酬之不當得利 。 二、上訴人則以：兩造約定被上訴人於107年1月23日進場施作拆 除工程，並應於同年2月14日完工，嗣被上訴人因工程進度 落"
"TPHV,109,建上,62,20210112,1","202101","2021","臺灣高等法院民事","109","建上","62","20210112","給付工程款","15334","82","202101/臺灣高等法院民事/TPHV,109,建上,62,20210112,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高等法院民事/TPHV,109,建上,62,20210112,1.json","ok","1","3","31","9","0","34","9","0","52","逾期違約金;違約金","工期;展延;逾期;遲延","相當","","工期;展延;逾期;逾期違約金;違約金;遲延","1","0","約要求之規格，被上訴人自應給付尾款，包含2.79％估驗款 及各期5％保留款，合計149萬5,579元。又伊為維持履約保證 效力，於兩造商議期間，向金融機構辦理展延，而於106年3 月3日至同年12月3日額外支出1萬1,873元、1萬1,873元、1 萬1,828元，共計3萬5,574元，亦應由被上訴人給付。爰依","由： ⒈債務人遲延者，債權人得請求其賠償因遲延而生之損害，民 法第231條第1項固有明文。然損害賠償之債，以有損害之發 生及有責任原因之事實，並二者之間有相當因果關係為其成 立要件。是如債務人就給付遲延無可歸責事由，或債權人所 受損害與給付遲延間無相當因果關係，自無損害賠償可言。 而所謂相當因果關係，係指依"
"HLHV,109,建上更一,1,20210129,1","202101","2021","臺灣高等法院花蓮分院民事","109","建上更一","1","20210129","給付工程款等","27640","105","202101/臺灣高等法院花蓮分院民事/HLHV,109,建上更一,1,20210129,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高等法院花蓮分院民事/HLHV,109,建上更一,1,20210129,1.json","ok","1","15","56","3","0","71","3","0","77","逾期違約金;違約金","工期;逾期","相當","","工期;逾期;逾期違約金;違約金","1","0","上訴人即被上訴人友達營造有限公司（下稱友達公司）於原 審起訴請求法院判決：自來水公司第十區管理處應給付友達 公司新臺幣（下同）22,014,551元【即溢扣逾期違約金768, 629元＋未使用之土石籠354組、織布開口袋1,253個（下合 稱系爭未使用土石籠）損失1,964,384元＋衍生違約訂金損 害63,504","當月發票亦無違常理尚符一般商業習 慣，是自來水公司第十區管理處此部分所辯，亦不足採。 ④按期間不以星期、月或年之始日起算者，以最後之星期、月 或年與起算日相當日之前一日，為期間之末日。但以月或年 定期間，於最後之月，無相當日者，以其月之末日，為期間 之末日，民法第121條第2項定有明文。查系爭244日停工期"
"KSHV,105,建上,24,20210126,3","202101","2021","臺灣高等法院高雄分院民事","105","建上","24","20210126","給付工程款","19236","181","202101/臺灣高等法院高雄分院民事/KSHV,105,建上,24,20210126,3.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高等法院高雄分院民事/KSHV,105,建上,24,20210126,3.json","ok","1","19","59","14","11","78","14","11","150","逾期違約金;違約金","工期;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;逾期;逾期違約金;違約金;遲延","1","1","二、附帶上訴人則以：上訴人並未依約完成系爭工程並經驗收合 格，自不得請求給付工程款，另系爭契約係因可歸責於上訴 人之事由而終止，並非定作人任意終止。況伊因上訴人遲延 未完工而無法如期營業，受有損害，上訴人應負擔逾期罰款 ，伊自得以之抵銷應付之工程款。經扣除逾期違約金，上訴 人已無工程款可得請求等語，資為置辯。","，附表一編號3 ）。次按工作未完成前，定作人得隨時終止 契約。但應賠償承攬人因契約終止而生之損害；工作已完成 之部分，於定作人為有用者，定作人有受領及給付相當報酬 之義務。民法第511 條、第512 條第2 項分別定有明文。而 承攬契約之終止，僅使契約自終止之時起向將來消滅，並無 溯及效力，定作人固仍應就承"
"KSHV,109,建上更一,13,20210129,1","202101","2021","臺灣高等法院高雄分院民事","109","建上更一","13","20210129","給付工程款","3811","31","202101/臺灣高等法院高雄分院民事/KSHV,109,建上更一,13,20210129,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高等法院高雄分院民事/KSHV,109,建上更一,13,20210129,1.json","ok","1","6","2","0","0","8","0","0","8","逾期違約金;違約金","逾期","","","逾期;逾期違約金;違約金","1","0","爭 工程已驗收合格，長鴻公司因無力支付伊工程款（下稱系爭 工程款），同意將其對追加被告之工程款債權（含保固保證 金及其等雙方另案成立調解之工程款、預扣逾期違約金）於 新臺幣（下同）850萬元（下稱系爭債權）之範圍內讓與伊 ，並於民國104年10月7日簽妥債權讓與協議書（下稱系爭讓 與契約），通知追加被告，追加",""
"TCHV,108,建上,14,20210105,1","202101","2021","臺灣高等法院臺中分院民事","108","建上","14","20210105","給付工程款等","10128","53","202101/臺灣高等法院臺中分院民事/TCHV,108,建上,14,20210105,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高等法院臺中分院民事/TCHV,108,建上,14,20210105,1.json","ok","1","22","35","2","1","57","2","1","65","逾期違約金;違約金","工期;完工期限;展延;逾期;遲延","相當;過高","過高","工期;完工期限;展延;逾期;逾期違約金;違約金;遲延","1","1","契約（下稱系爭契約），契約金額新臺幣（下同）1,209 萬8,800元，系爭工程已於100年4月驗收合格，核定結算金 額1,161萬9,868元。惟上訴人認定伊逾期126天，扣罰違約 金152萬4,448元，因其中93天有天候、工程圖書與實地現況 不符等不計工期事由，上訴人即應返還溢扣之違約金112萬 5,188","，又兩造 同意逾期違約金以每日12098.8元計算乙節，為兩造所不爭 ，復衡諸系爭工程之性質、內容、工程金額及一般工程實務 ，應認前開約定之違約金尚屬相當，並無過高情事。是經扣 除上開不計工期日數，本件工程遲延之違約金為399,260元 （計算式：12098.8×33=399,260，元以下四捨五入)），上"
"TCHV,109,重上更一,41,20210127,1","202101","2021","臺灣高等法院臺中分院民事","109","重上更一","41","20210127","請求履行契約等","19629","12","202101/臺灣高等法院臺中分院民事/TCHV,109,重上更一,41,20210127,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高等法院臺中分院民事/TCHV,109,重上更一,41,20210127,1.json","ok","1","47","6","10","7","53","10","7","101","違約金","逾期;遲延","相當;酌減;第252條;過高","酌減;第252條;過高","逾期;違約金;遲延","1","1","開發建設有限公司（下逕稱和興 公司）及其法定代理人廖雅惠（下逕稱廖雅惠）給付新臺幣 （下同）1,071萬元，另依系爭解約協議請求和興公司、廖 雅惠給付違約金500萬元。案經原審判決為其一部勝訴後， 李麗珍就其請求違約金敗訴部分提起上訴。嗣因和興公司、 廖雅惠將系爭房地於審理期間之民國105年6月15日以買賣為","追加（見本院前審卷第87 頁），然李麗珍所追加之訴與原有之訴，除經核其請求之基 礎事實均係兩造間所簽訂之系爭買賣契約所衍生之爭執，應 認在社會生活上有相當之共通性或關連性，且訴訟及證據資 料在相當程度範圍內得加以援用，可認請求之基礎事實同一 外，亦因和興公司、廖雅惠事後將系爭房地於審理期間移轉 登記予第"
"KSDV,109,訴,1349,20210122,4","202101","2021","臺灣高雄地方法院民事","109","訴","1349","20210122","返還履約保證金等","15424","1","202101/臺灣高雄地方法院民事/KSDV,109,訴,1349,20210122,4.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高雄地方法院民事/KSDV,109,訴,1349,20210122,4.json","ok","1","62","69","29","24","131","29","24","285","逾期違約金;違約金","展延;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","展延;逾期;逾期違約金;違約金;遲延","1","1","稱系爭計畫清單）第10條第5 項規格修訂所定規格，與 被告所定「原（材）料規格」所列規格要求標準歧異，原告 於同年7 月16日函請被告釋疑並安排再驗程序，及申請展延 第2 次樣品之送驗時程，經被告同意得展延至同年月31日交 貨。原告嗣於108 年7 月31日再備具確樣及半成品材料遵期 送驗，被告卻以原告第2 次送","購受有 損害，且吸震墊要求對於攜行袋功能並無影響，被告卻小題 大作主張解約、沒收全額履約保證金並另索討高額違約金， 已違民法第148 條誠信原則，爰依民法第252 條規定請求法 院酌減上開遲延違約金及具懲罰性違約金性質之履約保證金 。上開違約金經酌減後，被告受領履約保證金，即係無法律 上原因而受有利益，被告應依民法"
"PCDV,106,建,92,20210113,1","202101","2021","臺灣新北地方法院民事","106","建","92","20210113","給付工程款","59061","320","202101/臺灣新北地方法院民事/PCDV,106,建,92,20210113,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣新北地方法院民事/PCDV,106,建,92,20210113,1.json","ok","1","41","157","6","5","198","6","5","230","逾期違約金;違約金","工期;展延;逾期;遲延","相當;過高","過高","工期;展延;逾期;逾期違約金;違約金;遲延","1","1","元，故被告尚有工程尾款29,393,727元未付（計 算式：197,424,440 元－168,030,713 元＝29,393,727元） 。然此經被告以施工逾期而扣款26,096,879元，原告僅就其 中系爭工程星光橋階段部分逾期2 天、智慧橋階段部分逾期 28天、雜項工程部分逾期36天等不爭執，亦即被告因施工逾","理單價，業 經本院囑託行政院公共工程委員會為鑑定，鑑定結果認原告 就如附表一編號7 所示工項，請求新增單價中保管及整修費 7 座合計154,000 元過高，並非合理；如附表一編號8 所示 工項，請求新增單價中保管及整修費3 座合計49,725元過高 ，並非合理；如附表一編號9 所示工項，請求新增單價中保"
"TCDV,108,建,139,20210128,1","202101","2021","臺灣臺中地方法院民事","108","建","139","20210128","給付工程款","21561","134","202101/臺灣臺中地方法院民事/TCDV,108,建,139,20210128,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣臺中地方法院民事/TCDV,108,建,139,20210128,1.json","ok","1","4","15","4","1","19","4","1","31","違約金","工期;完工期限;逾期;遲延","相當;過高","過高","工期;完工期限;逾期;違約金;遲延","1","1","定有 明文。本件原告因系爭合約提起本件訴訟，請求被告給付工 程款，而被告於訴訟繫屬中提起反訴，亦基於系爭合約請求 原告返還瑕疵修補費用、減少報酬及給付違約金，足認本件 本訴及反訴標的之法律關係於審判資料有其共通性及牽連性 ，且反訴標的非專屬他法院管轄，並得與本訴行同種訴訟程 序，復無延滯訴訟情形，本件被告","工程業已完工，反訴原告主張反訴被告逾期完工， 並無理由。縱認系爭工程逾期，惟查系爭合約總價僅880 萬元，反訴原告請求逾期罰款高達994,400元，顯然過高 ，且系爭契約多數工程均已完工交付，應依完工比例減少 違約金之數額。 （五）附表四所列之支出，為反訴原告單方面製作，反訴被告否 認其真正"
