"annotation_status","annotation_priority","JID","decision_year","court","JTITLE","JCASE","JNO","JDATE","json_file","contract_price","delay_days","claimed_penalty","allowed_penalty","remaining_ratio","reduction_rate","reduction_bucket","target_quality","x_log_contract_price","x_log_claimed_penalty","x_claim_to_contract_ratio","x_delay_days","x_penalty_per_delay_day","x_issue_owner_fault","x_issue_contractor_fault","x_issue_extension_request","x_issue_actual_damage_unclear","x_issue_partial_completion","x_issue_used_by_owner","x_ai_issue_owner_fault","x_ai_issue_contractor_fault","x_ai_issue_extension_request","x_ai_issue_actual_damage_unclear","x_ai_issue_partial_completion","x_ai_issue_used_by_owner","x_money_candidate_count","x_delay_candidate_count","x_relevance_score","x_penalty_term_count","x_delay_term_count","x_strong_reduction_term_count","x_has_mfa_252","x_has_discretion","x_has_over_high"
"ai_assumed_review","","CYDV,109,建,4,20230109,3","2023","臺灣嘉義地方法院民事","給付工程款","建","4","20230109","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202301/臺灣嘉義地方法院民事/CYDV,109,建,4,20230109,3.json","17440853","7","3487008","3487008","1","0","未酌減","ok","16.6743258857995","15.0645546198909","0.19993334041632","7","498144","1","1","1","1","1","1","1","1","1","1","1","1","30","12","1576","2","6","5","0","1","1"
"ai_assumed_review","","KSDV,106,建,34,20231226,2","2023","臺灣高雄地方法院民事","給付逾期違約金","建","34","20231226","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202312/臺灣高雄地方法院民事/KSDV,106,建,34,20231226,2.json","314044876","200","78878862","26213286","0.33232333","0.66767667","中度酌減","ok","19.5650464508583","18.1834238411769","0.251170670270704","200","394394.31","1","1","1","1","1","1","1","1","1","1","1","1","27","12","950","2","5","4","0","1","0"
"ai_assumed_review","","PCDV,107,建,2,20211221,1","2021","臺灣新北地方法院民事","給付工程款等","建","2","20211221","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202112/臺灣新北地方法院民事/PCDV,107,建,2,20211221,1.json","28892899","262","4057057","1400893","0.34529784","0.65470216","中度酌減","ok","17.1791064135486","15.2159683918804","0.140417096948285","262","15484.9503816794","1","1","1","0","1","1","1","1","1","0","1","1","36","12","710","2","5","1","0","0","1"
"ai_assumed_review","","TCHV,108,建上,22,20210421,1","2021","臺灣高等法院臺中分院民事","給付工程款等","建上","22","20210421","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺中分院民事/TCHV,108,建上,22,20210421,1.json","246","218","19920000","10433610","0.5237756","0.4762244","中度酌減","ok","5.50533153593236","16.8072348101207","80975.6097560976","218","91376.1467889908","1","1","1","1","1","1","1","1","1","1","1","1","34","12","698","2","6","4","0","1","1"
"ai_assumed_review","","HLHV,109,建上,6,20220413,1","2022","臺灣高等法院花蓮分院民事","給付違約金等","建上","6","20220413","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣高等法院花蓮分院民事/HLHV,109,建上,6,20220413,1.json","1852588","178","7057320","5909864","0.8374091","0.1625909","小幅酌減","ok","14.4320941383979","15.7695759340024","3.8094384720186","178","39647.8651685393","1","1","1","1","1","1","1","1","1","1","1","1","36","12","619","2","4","4","1","0","1"
"ai_assumed_review","","ULDV,113,建,3,20250620,2","2025","臺灣雲林地方法院民事","給付工程款","建","3","20250620","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202506/臺灣雲林地方法院民事/ULDV,113,建,3,20250620,2.json","27582680","668","94750","27576","0.29103958","0.70896042","大幅酌減","ok","17.1326985974722","11.4589971229447","0.00343512668094616","668","141.841317365269","1","1","1","1","1","0","1","1","1","1","1","0","36","12","610","2","6","4","1","1","1"
"ai_assumed_review","","PCDV,109,建,93,20220412,1","2022","臺灣新北地方法院民事","給付工程款","建","93","20220412","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣新北地方法院民事/PCDV,109,建,93,20220412,1.json","3110410","690","17950675","7202339","0.40122942","0.59877058","中度酌減","ok","14.9502651082637","16.7031382766484","5.77116039364585","690","26015.4710144928","1","1","1","0","1","0","1","1","1","0","1","0","33","12","583","2","6","4","1","1","0"
"ai_assumed_review","","TPHV,111,建上,4,20230412,2","2023","臺灣高等法院民事","給付工程款","建上","4","20230412","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202304/臺灣高等法院民事/TPHV,111,建上,4,20230412,2.json","342876","94","4054624","669926","0.16522518","0.83477482","大幅酌減","ok","12.7451241447504","15.2153685162016","11.8253362731716","94","43134.2978723404","1","1","1","1","1","0","1","1","1","1","1","0","28","12","576","2","5","4","0","1","1"
"ai_assumed_review","","CYDV,107,建,13,20230921,2","2023","臺灣嘉義地方法院民事","給付工程款","建","13","20230921","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202309/臺灣嘉義地方法院民事/CYDV,107,建,13,20230921,2.json","52507589","29","13348403","3348403","0.25084671","0.74915329","大幅酌減","ok","17.7764682694961","16.4069073101867","0.254218547341795","29","460289.75862069","1","1","1","0","1","1","1","1","1","0","1","1","20","12","570","2","5","3","1","1","0"
"ai_assumed_review","","TPHV,107,建上,38,20230221,1","2023","臺灣高等法院民事","給付違約金等","建上","38","20230221","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202302/臺灣高等法院民事/TPHV,107,建上,38,20230221,1.json","88548712","26","37709742","37709742","1","0","未酌減","ok","18.2990633766328","17.4454290275246","0.425864376209108","26","1450374.69230769","1","1","1","1","1","0","1","1","1","1","1","0","36","12","546","2","6","4","0","1","1"
"ai_assumed_review","","TCHV,110,建上,69,20220621,1","2022","臺灣高等法院臺中分院民事","給付工程款等","建上","69","20220621","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202206/臺灣高等法院臺中分院民事/TCHV,110,建上,69,20220621,1.json","4393226","420","4393226","3798717","0.86467598","0.13532402","小幅酌減","ok","15.2955743671161","15.2955743671161","1","420","10460.0619047619","0","1","0","1","1","0","0","1","0","1","1","0","36","12","534","2","3","2","0","1","0"
"ai_assumed_review","","TPHV,113,重上,4,20260429,1","2026","臺灣高等法院民事","履行契約","重上","4","20260429","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202604/臺灣高等法院民事/TPHV,113,重上,4,20260429,1.json","513965000","570","14000000","14000000","1","0","未酌減","ok","20.0576657277158","16.4545678875795","0.0272392088955474","570","24561.4035087719","1","1","1","1","1","1","1","1","1","1","1","1","25","12","517","2","3","4","0","1","1"
"ai_assumed_review","","TPDV,113,建,253,20251022,1","2025","臺灣臺北地方法院民事","返還不當得利","建","253","20251022","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202510/臺灣臺北地方法院民事/TPDV,113,建,253,20251022,1.json","90474137","19","41590398","29514136","0.70963822","0.29036178","小幅酌減","ok","18.320574588822","17.5433798812814","0.459693779670979","19","2188968.31578947","0","1","1","1","1","0","0","1","1","1","1","0","28","12","509","2","5","3","1","1","1"
"ai_assumed_review","","TCDV,112,建,14,20250122,1","2025","臺灣臺中地方法院民事","請求工程款","建","14","20250122","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202501/臺灣臺中地方法院民事/TCDV,112,建,14,20250122,1.json","579337881","229","149063636","115867576","0.77730276","0.22269724","小幅酌減","ok","20.1773964249181","18.8198838599823","0.257299998651391","229","650932.908296943","1","1","1","1","1","1","1","1","1","1","1","1","36","12","507","2","4","4","0","1","0"
