"annotation_status","annotation_priority","JID","decision_year","court","JTITLE","JCASE","JNO","JDATE","json_file","contract_price","delay_days","claimed_penalty","allowed_penalty","remaining_ratio","reduction_rate","reduction_bucket","target_quality","x_log_contract_price","x_log_claimed_penalty","x_claim_to_contract_ratio","x_delay_days","x_penalty_per_delay_day","x_issue_owner_fault","x_issue_contractor_fault","x_issue_extension_request","x_issue_actual_damage_unclear","x_issue_partial_completion","x_issue_used_by_owner","x_ai_issue_owner_fault","x_ai_issue_contractor_fault","x_ai_issue_extension_request","x_ai_issue_actual_damage_unclear","x_ai_issue_partial_completion","x_ai_issue_used_by_owner","x_money_candidate_count","x_delay_candidate_count","x_relevance_score","x_penalty_term_count","x_delay_term_count","x_strong_reduction_term_count","x_has_mfa_252","x_has_discretion","x_has_over_high"
"needs_manual_review","13","PCDV,107,建,2,20211221,1","2021","臺灣新北地方法院民事","給付工程款等","建","2","20211221","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202112/臺灣新北地方法院民事/PCDV,107,建,2,20211221,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","36","12","710","2","5","1","0","0","1"
"needs_manual_review","14","CHDV,107,建,30,20211222,1","2021","臺灣彰化地方法院民事","給付工程款","建","30","20211222","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202112/臺灣彰化地方法院民事/CHDV,107,建,30,20211222,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","36","12","487","2","4","4","0","0","1"
"needs_manual_review","15","TPDV,105,建,400,20211227,1","2021","臺灣臺北地方法院民事","給付工程款等","建","400","20211227","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202112/臺灣臺北地方法院民事/TPDV,105,建,400,20211227,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","36","12","361","2","5","2","0","1","0"
"needs_manual_review","16","TPDV,107,建,335,20211229,2","2021","臺灣臺北地方法院民事","給付工程款","建","335","20211229","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202112/臺灣臺北地方法院民事/TPDV,107,建,335,20211229,2.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","36","12","279","2","4","4","0","1","1"
"needs_manual_review","17","KSHV,109,建上,26,20220309,1","2022","臺灣高等法院高雄分院民事","返還不當得利","建上","26","20220309","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202203/臺灣高等法院高雄分院民事/KSHV,109,建上,26,20220309,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","29","12","437","2","5","4","1","1","1"
"needs_manual_review","18","TCDV,107,建,70,20220317,4","2022","臺灣臺中地方法院民事","給付工程款","建","70","20220317","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202203/臺灣臺中地方法院民事/TCDV,107,建,70,20220317,4.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","36","12","422","2","5","4","1","1","1"
"needs_manual_review","19","KSHV,109,建上,33,20220316,1","2022","臺灣高等法院高雄分院民事","給付工程款","建上","33","20220316","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202203/臺灣高等法院高雄分院民事/KSHV,109,建上,33,20220316,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","19","12","306","2","4","4","1","0","1"
"needs_manual_review","20","HLHV,109,建上,6,20220413,1","2022","臺灣高等法院花蓮分院民事","給付違約金等","建上","6","20220413","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣高等法院花蓮分院民事/HLHV,109,建上,6,20220413,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","36","12","619","2","4","4","1","0","1"
"needs_manual_review","21","PCDV,109,建,93,20220412,1","2022","臺灣新北地方法院民事","給付工程款","建","93","20220412","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣新北地方法院民事/PCDV,109,建,93,20220412,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","33","12","583","2","6","4","1","1","0"
"needs_manual_review","22","TYDV,109,建,32,20220408,1","2022","臺灣桃園地方法院民事","給付工程款","建","32","20220408","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣桃園地方法院民事/TYDV,109,建,32,20220408,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","35","12","482","2","5","4","1","1","1"
